,Memory & Storage,IC Design (ASIC/Custom),GPU/CPU & Compute,EDA & Design Software,Semicap Equipment,Foundry & Manufacturing,Analog & Power Semis,Networking & Optical,Thermal & Power Infrastructure,Cybersecurity Software,Enterprise Software & Data,Cloud & Platforms,Data Center REITs
Memory & Storage,1.0,0.6759739947431974,0.6418094481081617,0.6436427457546788,0.7294027655292897,0.6040090207017853,0.6585196607497995,0.6377652471141799,0.5813556097471947,0.39497456174929,0.47007973822392984,0.5175188344129662,0.23232006797797822
IC Design (ASIC/Custom),0.6759739947431974,1.0,0.8027056666435612,0.7815108730979275,0.8289248859601469,0.7679406985009999,0.8544444669696214,0.7398151815172822,0.6503886907370244,0.5350480606450366,0.628759365089252,0.6496692834373015,0.32844021740492224
GPU/CPU & Compute,0.6418094481081617,0.8027056666435612,1.0,0.7839842668206456,0.800660043115016,0.7630535882476571,0.7817909038504014,0.6838374647058961,0.6213943172631148,0.5589399462961322,0.64831769265021,0.6705048808474873,0.32681629126394485
EDA & Design Software,0.6436427457546788,0.7815108730979275,0.7839842668206456,1.0,0.7927631809545297,0.7219009993075772,0.7853643288458861,0.6916603972550867,0.6312220259781498,0.6034367694868813,0.6692325619846585,0.6502815098796545,0.33282850309804407
Semicap Equipment,0.7294027655292897,0.8289248859601469,0.800660043115016,0.7927631809545297,1.0,0.7755256416254551,0.8408800364023584,0.6803288660278624,0.6277090161940502,0.4860359192425239,0.5679638987877808,0.61101773952013,0.30160548673162113
Foundry & Manufacturing,0.6040090207017853,0.7679406985009999,0.7630535882476571,0.7219009993075772,0.7755256416254551,1.0,0.7786277742459731,0.610503947251037,0.5585370536203186,0.5052908329772449,0.5751424692988757,0.5905724462652605,0.2982177155090654
Analog & Power Semis,0.6585196607497995,0.8544444669696214,0.7817909038504014,0.7853643288458861,0.8408800364023584,0.7786277742459731,1.0,0.6524535179651231,0.5959607618767551,0.5103788523050036,0.5883321821091517,0.6134684892119947,0.3521508261273183
Networking & Optical,0.6377652471141799,0.7398151815172822,0.6838374647058961,0.6916603972550867,0.6803288660278624,0.610503947251037,0.6524535179651231,1.0,0.6748118046431082,0.5139698770285251,0.5945178232061807,0.5814169571966805,0.32420237397334106
Thermal & Power Infrastructure,0.5813556097471947,0.6503886907370244,0.6213943172631148,0.6312220259781498,0.6277090161940502,0.5585370536203186,0.5959607618767551,0.6748118046431082,1.0,0.41679727996113236,0.5032249701606503,0.49595299790685843,0.31813693361781936
Cybersecurity Software,0.39497456174929,0.5350480606450366,0.5589399462961322,0.6034367694868813,0.4860359192425239,0.5052908329772449,0.5103788523050036,0.5139698770285251,0.41679727996113236,1.0,0.7760119426556329,0.6063629228238995,0.32183701182287305
Enterprise Software & Data,0.47007973822392984,0.628759365089252,0.64831769265021,0.6692325619846585,0.5679638987877808,0.5751424692988757,0.5883321821091517,0.5945178232061807,0.5032249701606503,0.7760119426556329,1.0,0.6974059363736246,0.3829470197641933
Cloud & Platforms,0.5175188344129662,0.6496692834373015,0.6705048808474873,0.6502815098796545,0.61101773952013,0.5905724462652605,0.6134684892119947,0.5814169571966805,0.49595299790685843,0.6063629228238995,0.6974059363736246,1.0,0.35464679303133195
Data Center REITs,0.23232006797797822,0.32844021740492224,0.32681629126394485,0.33282850309804407,0.30160548673162113,0.2982177155090654,0.3521508261273183,0.32420237397334106,0.31813693361781936,0.32183701182287305,0.3829470197641933,0.35464679303133195,1.0
